,,,,,,,RSU,No.,5,,,,,,
,1000.2800.2150.51010.030,,Speech &,Audiology Salaries,,"$32,897.00",$0.00,"$32,897.00",,$0.00,$0.00,"$32,897.00","$34,279.98","($1,382.98)",-4.20%
,1000.2800.2150.52010.030,,Speech &,Audiology Benefits,,"$13,061.00",$0.00,"$13,061.00",,$0.00,$0.00,"$13,061.00",$0.00,"$13,061.00",100.00%
,1000.2800.2150.52310.030,,Retirement,,,"$1,471.00",$0.00,"$1,471.00",,$0.00,$0.00,"$1,471.00",$0.00,"$1,471.00",100.00%
,,,,,,,RSU,No.,5,,,,,,
,Article 2,Special,Education-,Adopted,,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
,Account,Number,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$47,429.00",$0.00,"$47,429.00",,$0.00,$0.00,"$47,429.00","$34,279.98","$13,149.02",27.72%
,,,Function: SPEECH &,AUDIOLOGY,- 2150,"$47,429.00",$0.00,"$47,429.00",,$0.00,$0.00,"$47,429.00","$34,279.98","$13,149.02",27.72%
,1000.2800.2160.51010.030,,OT Salary,,,"$26,266.00",$0.00,"$26,266.00",,$0.00,$0.00,"$26,266.00","$26,265.99",$0.01,0.00%
,1000.2800.2160.52010.030,,OT Benefits,,,"$6,501.00",$0.00,"$6,501.00",,$0.00,$0.00,"$6,501.00",$0.00,"$6,501.00",100.00%
,1000.2800.2160.52310.030,,Retirement,,,"$1,174.00",$0.00,"$1,174.00",,$0.00,$0.00,"$1,174.00",$0.00,"$1,174.00",100.00%
,1000.2800.2160.55800.030,,Travel,,,$50.00,$0.00,,$50.00,$0.00,$0.00,$50.00,$0.00,$50.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$33,991.00",$0.00,"$33,991.00",,$0.00,$0.00,"$33,991.00","$26,265.99","$7,725.01",22.73%
,,,,Function: OT,- 2160,"$33,991.00",$0.00,"$33,991.00",,$0.00,$0.00,"$33,991.00","$26,265.99","$7,725.01",22.73%
,,Cost,Center: POWNAL,ELEMENTARY,- 030,"$227,675.00",$0.00,"$227,675.00",,$0.00,$0.00,"$227,675.00","$135,552.20","$92,122.80",40.46%
,1000.2200.1000.51010.040,,Teacher,Salaries,,"$95,791.00",$0.00,"$95,791.00",,$0.00,$0.00,"$95,791.00","$95,791.08",($0.08),0.00%
,1000.2200.1000.51020.040,,Ed Tech,Salaries,,"$151,957.00",$0.00,"$151,957.00",,$0.00,$0.00,"$151,957.00","$124,344.36","$27,612.64",18.17%
,1000.2200.1000.52010.040,,Teacher,Benefits,,"$28,178.00",$0.00,"$28,178.00",,$0.00,$0.00,"$28,178.00",$0.00,"$28,178.00",100.00%
,1000.2200.1000.52020.040,,Ed Tech,Benefits,,"$64,956.00",$0.00,"$64,956.00",,$0.00,$0.00,"$64,956.00",$0.00,"$64,956.00",100.00%
,1000.2200.1000.52310.040,,Retirement,,,"$4,282.00",$0.00,"$4,282.00",,$0.00,$0.00,"$4,282.00",$0.00,"$4,282.00",100.00%
,1000.2200.1000.52320.040,,Retirement,,,"$6,792.00",$0.00,"$6,792.00",,$0.00,$0.00,"$6,792.00",$0.00,"$6,792.00",100.00%
,1000.2200.1000.56100.040,,Instructional,Supplies,,$100.00,$0.00,,$100.00,$0.00,$0.00,$100.00,$0.00,$100.00,100.00%
,Program:,RESOURCE,CLASSROOM,PLACEMENT,- 2200,"$352,056.00",$0.00,"$352,056.00",,$0.00,$0.00,"$352,056.00","$220,135.44","$131,920.56",37.47%
,1000.2300.1000.51010.040,,Teacher,Salaries,,"$205,047.00",$0.00,"$205,047.00",,$0.00,$0.00,"$205,047.00","$159,928.89","$45,118.11",22.00%
,1000.2300.1000.51020.040,,Ed Tech,Salaries,,"$33,459.00",$0.00,"$33,459.00",,$0.00,$0.00,"$33,459.00","$32,949.94",$509.06,1.52%
,1000.2300.1000.52010.040,,Teacher,Benefits,,"$47,990.00",$0.00,"$47,990.00",,$0.00,$0.00,"$47,990.00",$0.00,"$47,990.00",100.00%
,1000.2300.1000.52020.040,,Ed Tech,Benefits,,"$13,281.00",$0.00,"$13,281.00",,$0.00,$0.00,"$13,281.00",$0.00,"$13,281.00",100.00%
,1000.2300.1000.52310.040,,Retirement,,,"$9,166.00",$0.00,"$9,166.00",,$0.00,$0.00,"$9,166.00",$0.00,"$9,166.00",100.00%
,1000.2300.1000.52320.040,,Retirement,,,"$1,496.00",$0.00,"$1,496.00",,$0.00,$0.00,"$1,496.00",$0.00,"$1,496.00",100.00%
,Program:,SELF,CONTAINED CLASS,PLACEMENT,- 2300,"$310,439.00",$0.00,"$310,439.00",,$0.00,$0.00,"$310,439.00","$192,878.83","$117,560.17",37.87%
,,Function:,REGULAR,INSTRUCTION,- 1000,"$662,495.00",$0.00,"$662,495.00",,$0.00,$0.00,"$662,495.00","$413,014.27","$249,480.73",37.66%
,1000.2800.2110.51010.040,,Social Worker,Salary,,"$46,838.00",$0.00,"$46,838.00",,$0.00,$0.00,"$46,838.00","$46,838.18",($0.18),0.00%
,1000.2800.2110.52010.040,,Social Worker,Benefits,,"$10,732.00",$0.00,"$10,732.00",,$0.00,$0.00,"$10,732.00",$0.00,"$10,732.00",100.00%
,1000.2800.2110.52310.040,,Retirement,,,"$2,094.00",$0.00,"$2,094.00",,$0.00,$0.00,"$2,094.00",$0.00,"$2,094.00",100.00%
,1000.2800.2110.55800.040,,Travel,,,$300.00,$0.00,,$300.00,$0.00,$0.00,$300.00,$0.00,$300.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$59,964.00",$0.00,"$59,964.00",,$0.00,$0.00,"$59,964.00","$46,838.18","$13,125.82",21.89%
,,Function:,Attendance,& Social Work,- 2110,"$59,964.00",$0.00,"$59,964.00",,$0.00,$0.00,"$59,964.00","$46,838.18","$13,125.82",21.89%
,,,,,,,RSU,No.,5,,,,,,
,Article 2,Special,Education-,Adopted,,,,,,,,,,,
,,,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
,Account,Number,Description,,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.2800.2140.53440.040,,Professional,Services,,"$1,750.00",$0.00,"$1,750.00",,$0.00,$0.00,"$1,750.00",$0.00,"$1,750.00",100.00%
,1000.2800.2140.55800.040,,Travel,,,$267.00,$0.00,,$267.00,$0.00,$0.00,$267.00,$0.00,$267.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$2,017.00",$0.00,"$2,017.00",,$0.00,$0.00,"$2,017.00",$0.00,"$2,017.00",100.00%
,,,Function:,PSYCHOLOGICAL,- 2140,"$2,017.00",$0.00,"$2,017.00",,$0.00,$0.00,"$2,017.00",$0.00,"$2,017.00",100.00%
,1000.2800.2150.51010.040,,Speech &,Audiology Salaries,,"$34,569.00",$0.00,"$34,569.00",,$0.00,$0.00,"$34,569.00","$36,643.41","($2,074.41)",-6.00%
,1000.2800.2150.52010.040,,Speech &,Audiology Benefits,,"$16,398.00",$0.00,"$16,398.00",,$0.00,$0.00,"$16,398.00",$0.00,"$16,398.00",100.00%
,1000.2800.2150.52310.040,,Retirement,,,"$1,545.00",$0.00,"$1,545.00",,$0.00,$0.00,"$1,545.00",$0.00,"$1,545.00",100.00%
,1000.2800.2150.55800.040,,Travel,,,$100.00,$0.00,,$100.00,$0.00,$0.00,$100.00,$0.00,$100.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$52,612.00",$0.00,"$52,612.00",,$0.00,$0.00,"$52,612.00","$36,643.41","$15,968.59",30.35%
,,,Function: SPEECH &,AUDIOLOGY,- 2150,"$52,612.00",$0.00,"$52,612.00",,$0.00,$0.00,"$52,612.00","$36,643.41","$15,968.59",30.35%
,1000.2800.2160.51010.040,,OT Salary,,,"$13,978.00",$0.00,"$13,978.00",,$0.00,$0.00,"$13,978.00","$14,082.88",($104.88),-0.75%
,1000.2800.2160.52010.040,,OT Benefits,,,"$1,011.00",$0.00,"$1,011.00",,$0.00,$0.00,"$1,011.00",$0.00,"$1,011.00",100.00%
,1000.2800.2160.52310.040,,Retirement,,,$625.00,$0.00,,$625.00,$0.00,$0.00,$625.00,$0.00,$625.00,100.00%
,1000.2800.2160.55800.040,,Travel,,,$50.00,$0.00,,$50.00,$0.00,$0.00,$50.00,$0.00,$50.00,100.00%
,,Program:,OTHER SPECIAL,PROGRAMS,- 2800,"$15,664.00",$0.00,"$15,664.00",,$0.00,$0.00,"$15,664.00","$14,082.88","$1,581.12",10.09%
,,,,Function: OT,- 2160,"$15,664.00",$0.00,"$15,664.00",,$0.00,$0.00,"$15,664.00","$14,082.88","$1,581.12",10.09%
,,,Cost Center:,MAST LANDING,- 040,"$792,752.00",$0.00,"$792,752.00",,$0.00,$0.00,"$792,752.00","$510,578.74","$282,173.26",35.59%
,1000.2200.1000.51010.050,,Teacher,Salaries,,"$151,740.00",$0.00,"$151,740.00",,$0.00,$0.00,"$151,740.00","$151,739.66",$0.34,0.00%
,1000.2200.1000.51020.050,,Ed Tech,Salaries,,"$128,846.00",$0.00,"$128,846.00",,$0.00,$0.00,"$128,846.00","$65,671.00","$63,175.00",49.03%
,1000.2200.1000.52010.050,,Teacher,Benefits,,"$47,844.00",$0.00,"$47,844.00",,$0.00,$0.00,"$47,844.00",$0.00,"$47,844.00",100.00%
,1000.2200.1000.52020.050,,Ed Tech,Benefits,,"$49,701.00",$0.00,"$49,701.00",,$0.00,$0.00,"$49,701.00",$0.00,"$49,701.00",100.00%
,1000.2200.1000.52310.050,,Retirement,,,"$6,783.00",$0.00,"$6,783.00",,$0.00,$0.00,"$6,783.00",$0.00,"$6,783.00",100.00%
,1000.2200.1000.52320.050,,Retirement,,,"$5,759.00",$0.00,"$5,759.00",,$0.00,$0.00,"$5,759.00",$0.00,"$5,759.00",100.00%
,1000.2200.1000.56100.050,,Instructional,Supplies,,$600.00,$0.00,,$600.00,$0.00,$0.00,$600.00,$0.00,$600.00,100.00%
,Program:,RESOURCE,CLASSROOM,PLACEMENT,- 2200,"$391,273.00",$0.00,"$391,273.00",,$0.00,$0.00,"$391,273.00","$217,410.66","$173,862.34",44.44%
,1000.2300.1000.51010.050,,Teacher,Salaries,,"$163,774.00",$0.00,"$163,774.00",,$0.00,$0.00,"$163,774.00","$163,773.72",$0.28,0.00%
,1000.2300.1000.51020.050,,Ed Tech,Salaries,,"$218,584.00",$0.00,"$218,584.00",,$0.00,$0.00,"$218,584.00","$91,495.71","$127,088.29",58.14%
,1000.2300.1000.52010.050,,Teacher,Benefits,,"$34,115.00",$0.00,"$34,115.00",,$0.00,$0.00,"$34,115.00",$0.00,"$34,115.00",100.00%
,1000.2300.1000.52020.050,,Ed Tech,Benefits,,"$61,503.00",$0.00,"$61,503.00",,$0.00,$0.00,"$61,503.00",$0.00,"$61,503.00",100.00%
,1000.2300.1000.52310.050,,Retirement,,,"$7,321.00",$0.00,"$7,321.00",,$0.00,$0.00,"$7,321.00",$0.00,"$7,321.00",100.00%
,1000.2300.1000.52320.050,,Retirement,,,"$9,771.00",$0.00,"$9,771.00",,$0.00,$0.00,"$9,771.00",$0.00,"$9,771.00",100.00%
,Program:,SELF,CONTAINED CLASS,PLACEMENT,- 2300,"$495,068.00",$0.00,"$495,068.00",,$0.00,$0.00,"$495,068.00","$255,269.43","$239,798.57",48.44%
