,,,,,RSU,No.,5,,,,,,
1000.9200.1000.51500.010,,EXTRA-CURRICULAR,STIPENDS -,"$37,477.00",$0.00,"$37,477.00",,$0.00,$0.00,"$37,477.00",$0.00,"$37,477.00",100.00%
,,DCS,,,,,,,,,,,
1000.9200.1000.52000.010,,EXTRA-CURR,STIPEND,"$1,259.00",$0.00,"$1,259.00",,$0.00,$0.00,"$1,259.00",$0.00,"$1,259.00",100.00%
,,BENEFITS,,,,,,,,,,,
1000.9200.1000.52300.010,,EXTRA-CURR,STIPEND,"$1,675.00",$0.00,"$1,675.00",,$0.00,$0.00,"$1,675.00",$0.00,"$1,675.00",100.00%
,,RETIREMENT,,,,,,,,,,,
,Program:,EXTRA-CURRICULAR,K-8 - 9200,"$40,411.00",$0.00,"$40,411.00",,$0.00,$0.00,"$40,411.00",$0.00,"$40,411.00",100.00%
,Function:,REGULAR INSTRUCTION,- 1000,"$89,712.00",$0.00,"$89,712.00",,$0.00,$0.00,"$89,712.00",$0.00,"$89,712.00",100.00%
,Cost Center:,DURHAM,COMMUNITY - 010,"$89,712.00",$0.00,"$89,712.00",,$0.00,$0.00,"$89,712.00",$0.00,"$89,712.00",100.00%
1000.4300.1000.51020.030,,Summer School ET,Wages - PES,"$1,950.00",$0.00,"$1,950.00",,$0.00,$0.00,"$1,950.00",$0.00,"$1,950.00",100.00%
1000.4300.1000.52020.030,,Summer School ET,Benefits - PES,$66.00,$0.00,,$66.00,$0.00,$0.00,$66.00,$0.00,$66.00,100.00%
1000.4300.1000.52320.030,,Summer School ET,Retirement -,$87.00,$0.00,,$87.00,$0.00,$0.00,$87.00,$0.00,$87.00,100.00%
,,PES,,,,,,,,,,,
,Program:,SUMMER,SCHOOL - 4300,"$2,103.00",$0.00,"$2,103.00",,$0.00,$0.00,"$2,103.00",$0.00,"$2,103.00",100.00%
1000.9100.1000.51500.030,,Stipends,,"$5,944.00",$0.00,"$5,944.00",,$0.00,$0.00,"$5,944.00",$0.00,"$5,944.00",100.00%
1000.9100.1000.52000.030,,Stipend Benefits,,$200.00,$0.00,,$200.00,$0.00,$0.00,$200.00,$0.00,$200.00,100.00%
1000.9100.1000.52300.030,,MPERS Employer,Contribution,$266.00,$0.00,,$266.00,$0.00,$0.00,$266.00,$0.00,$266.00,100.00%
,Program:,CO-CURRICULAR,K-8 - 9100,"$6,410.00",$0.00,"$6,410.00",,$0.00,$0.00,"$6,410.00",$0.00,"$6,410.00",100.00%
1000.9200.1000.51500.030,,Extra-Curricular,Stipends - PES,"$2,116.00",$0.00,"$2,116.00",,$0.00,$0.00,"$2,116.00",$0.00,"$2,116.00",100.00%
1000.9200.1000.52000.030,,Extra-Curricular,Stipends Benefits -,$71.00,$0.00,,$71.00,$0.00,$0.00,$71.00,$0.00,$71.00,100.00%
,,PES,,,,,,,,,,,
1000.9200.1000.52300.030,,Extra-Curricular,Stipends,$95.00,$0.00,,$95.00,$0.00,$0.00,$95.00,$0.00,$95.00,100.00%
,,Retirements - PES,,,,,,,,,,,
,Program:,EXTRA-CURRICULAR,K-8 - 9200,"$2,282.00",$0.00,"$2,282.00",,$0.00,$0.00,"$2,282.00",$0.00,"$2,282.00",100.00%
,Function:,REGULAR INSTRUCTION,- 1000,"$10,795.00",$0.00,"$10,795.00",,$0.00,$0.00,"$10,795.00",$0.00,"$10,795.00",100.00%
