,,,,,RSU,No.,5,,,,,,
,1000.1100.1000.51010.040,Teacher Salaries,,"$1,771,344.00",$0.00,"$1,771,344.00",,$0.00,$0.00,"$1,771,344.00","$1,698,092.08","$73,251.92",4.14%
,1000.1100.1000.51020.040,Ed Tech Salaries,,"$29,472.00",$0.00,"$29,472.00",,$0.00,$0.00,"$29,472.00",$0.00,"$29,472.00",100.00%
,1000.1100.1000.51230.040,Substitute Wages,,"$43,727.00",$0.00,"$43,727.00",,$0.00,$0.00,"$43,727.00",$0.00,"$43,727.00",100.00%
,1000.1100.1000.51500.040,Stipends,,"$2,400.00",$0.00,"$2,400.00",,$0.00,$0.00,"$2,400.00",$0.00,"$2,400.00",100.00%
,1000.1100.1000.52000.040,Stipend Benefits,,$81.00,$0.00,,$81.00,$0.00,$0.00,$81.00,$0.00,$81.00,100.00%
,1000.1100.1000.52010.040,Teacher Benefits,,"$443,878.00",$0.00,"$443,878.00",,$0.00,$0.00,"$443,878.00","$3,500.00","$440,378.00",99.21%
,1000.1100.1000.52020.040,Ed Tech Benefits,,"$6,118.00",$0.00,"$6,118.00",,$0.00,$0.00,"$6,118.00",$0.00,"$6,118.00",100.00%
,1000.1100.1000.52030.040,Substitute Benefits,,"$1,412.00",$0.00,"$1,412.00",,$0.00,$0.00,"$1,412.00",$0.00,"$1,412.00",100.00%
,1000.1100.1000.52300.040,Retirement -,Stipends,$107.00,$0.00,,$107.00,$0.00,$0.00,$107.00,$0.00,$107.00,100.00%
,1000.1100.1000.52310.040,Retirement,,"$79,179.00",$0.00,"$79,179.00",,$0.00,$0.00,"$79,179.00",$0.00,"$79,179.00",100.00%
,1000.1100.1000.52320.040,Retirement,,"$1,328.00",$0.00,"$1,328.00",,$0.00,$0.00,"$1,328.00",$0.00,"$1,328.00",100.00%
,1000.1100.1000.52330.040,Retirement,,"$1,955.00",$0.00,"$1,955.00",,$0.00,$0.00,"$1,955.00",$0.00,"$1,955.00",100.00%
,1000.1100.1000.53400.040,Purchased,Professional,"$19,078.00",$0.00,"$19,078.00",,$0.00,$0.00,"$19,078.00",$0.00,"$19,078.00",100.00%
,1000.1100.1000.54300.040,Copiers Repair/Maint,,"$11,800.00",$0.00,"$11,800.00",,$0.00,$0.00,"$11,800.00",$0.00,"$11,800.00",100.00%
,1000.1100.1000.54330.040,Software,,"$6,205.00",$0.00,"$6,205.00",,$0.00,$0.00,"$6,205.00",$0.00,"$6,205.00",100.00%
,,,,,RSU,No.,5,,,,,,
Article,1 Regular,Instruction-,Adopted,,,,,,,,,,
,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.1100.1000.55800.040,Travel,,"$1,810.00",$0.00,"$1,810.00",,$0.00,$0.00,"$1,810.00",$0.00,"$1,810.00",100.00%
,1000.1100.1000.56100.040,Instructional,Supplies,"$42,499.00",$0.00,"$42,499.00",,$0.00,$0.00,"$42,499.00",$0.00,"$42,499.00",100.00%
,1000.1100.1000.56110.040,Equipment &,"Furniture, Instructional","$6,554.00",$0.00,"$6,554.00",,$0.00,$0.00,"$6,554.00",$0.00,"$6,554.00",100.00%
,1000.1100.1000.56400.040,Books,,"$6,800.00",$0.00,"$6,800.00",,$0.00,$0.00,"$6,800.00",$0.00,"$6,800.00",100.00%
,Program:,ELEMENTARY,PROGRAMS - 1100,"$2,475,747.00",$0.00,"$2,475,747.00",,$0.00,$0.00,"$2,475,747.00","$1,701,592.08","$774,154.92",31.27%
,Function:,REGULAR,INSTRUCTION - 1000,"$2,475,747.00",$0.00,"$2,475,747.00",,$0.00,$0.00,"$2,475,747.00","$1,701,592.08","$774,154.92",31.27%
,,Cost Center: MAST,LANDING - 040,"$2,475,747.00",$0.00,"$2,475,747.00",,$0.00,$0.00,"$2,475,747.00","$1,701,592.08","$774,154.92",31.27%
,1000.1100.1000.51010.050,Teacher Salaries,,"$2,154,906.00",$0.00,"$2,154,906.00",,$0.00,$0.00,"$2,154,906.00","$1,954,412.95","$200,493.05",9.30%
,1000.1100.1000.51020.050,Ed Tech Salaries,,"$104,576.00",$0.00,"$104,576.00",,$0.00,$0.00,"$104,576.00","$38,715.28","$65,860.72",62.98%
,1000.1100.1000.51230.050,Substitute Wages,,"$54,596.00",$0.00,"$54,596.00",,$0.00,$0.00,"$54,596.00",$0.00,"$54,596.00",100.00%
,1000.1100.1000.51500.050,Stipends,,"$5,250.00",$0.00,"$5,250.00",,$0.00,$0.00,"$5,250.00",$0.00,"$5,250.00",100.00%
,1000.1100.1000.52000.050,Stipend Benefits,,$176.00,$0.00,,$176.00,$0.00,$0.00,$176.00,$0.00,$176.00,100.00%
,1000.1100.1000.52010.050,Teacher Benefits,,"$554,470.00",$0.00,"$554,470.00",,$0.00,$0.00,"$554,470.00",$0.00,"$554,470.00",100.00%
,1000.1100.1000.52020.050,Ed Tech Benefits,,"$14,815.00",$0.00,"$14,815.00",,$0.00,$0.00,"$14,815.00",$0.00,"$14,815.00",100.00%
,1000.1100.1000.52030.050,Substitute Benefits,,"$1,763.00",$0.00,"$1,763.00",,$0.00,$0.00,"$1,763.00",$0.00,"$1,763.00",100.00%
,1000.1100.1000.52300.050,Retirement,,$235.00,$0.00,,$235.00,$0.00,$0.00,$235.00,$0.00,$235.00,100.00%
,1000.1100.1000.52310.050,Retirement,,"$96,324.00",$0.00,"$96,324.00",,$0.00,$0.00,"$96,324.00",$0.00,"$96,324.00",100.00%
,1000.1100.1000.52320.050,Retirement,,"$4,685.00",$0.00,"$4,685.00",,$0.00,$0.00,"$4,685.00",$0.00,"$4,685.00",100.00%
,1000.1100.1000.52330.050,Retirement,,"$2,440.00",$0.00,"$2,440.00",,$0.00,$0.00,"$2,440.00",$0.00,"$2,440.00",100.00%
,1000.1100.1000.53400.050,Purchased,Professional,"$21,688.00",$0.00,"$21,688.00",,$0.00,$0.00,"$21,688.00",$0.00,"$21,688.00",100.00%
,1000.1100.1000.54300.050,Copiers Repair/Maint,,"$16,100.00",$0.00,"$16,100.00",,$0.00,$0.00,"$16,100.00",$0.00,"$16,100.00",100.00%
,1000.1100.1000.54330.050,Software,,"$3,820.00",$0.00,"$3,820.00",,$0.00,$0.00,"$3,820.00",$0.00,"$3,820.00",100.00%
,1000.1100.1000.55800.050,Travel,,"$10,500.00",$0.00,"$10,500.00",,$0.00,$0.00,"$10,500.00",$0.00,"$10,500.00",100.00%
,1000.1100.1000.56100.050,Instructional,Supplies,"$48,345.00",$0.00,"$48,345.00",,$0.00,$0.00,"$48,345.00",$0.00,"$48,345.00",100.00%
,1000.1100.1000.56110.050,Equipment &,"Furniture, Instructional","$10,750.00",$0.00,"$10,750.00",,$0.00,$0.00,"$10,750.00",$0.00,"$10,750.00",100.00%
,1000.1100.1000.56400.050,Books,,"$13,200.00",$0.00,"$13,200.00",,$0.00,$0.00,"$13,200.00",$0.00,"$13,200.00",100.00%
,1000.1100.1000.58100.050,Dues & Fees,,"$2,120.00",$0.00,"$2,120.00",,$0.00,$0.00,"$2,120.00",$0.00,"$2,120.00",100.00%
,Program:,ELEMENTARY,PROGRAMS - 1100,"$3,120,759.00",$0.00,"$3,120,759.00",,$0.00,$0.00,"$3,120,759.00","$1,993,128.23","$1,127,630.77",36.13%
,1000.4200.1000.53000.050,JMG,,"$27,000.00",$0.00,"$27,000.00",,$0.00,$0.00,"$27,000.00",$0.00,"$27,000.00",100.00%
,Program:,ALT (AT RISK) ED,PROGRAMS - 4200,"$27,000.00",$0.00,"$27,000.00",,$0.00,$0.00,"$27,000.00",$0.00,"$27,000.00",100.00%
,Function:,REGULAR,INSTRUCTION - 1000,"$3,147,759.00",$0.00,"$3,147,759.00",,$0.00,$0.00,"$3,147,759.00","$1,993,128.23","$1,154,630.77",36.68%
,Cost Center:,FREEPORT MIDDLE,SCHOOL - 050,"$3,147,759.00",$0.00,"$3,147,759.00",,$0.00,$0.00,"$3,147,759.00","$1,993,128.23","$1,154,630.77",36.68%
,,,,,RSU,No.,5,,,,,,
Article,1 Regular,Instruction-,Adopted,,,,,,,,,,
,,,,,,,,From Date:,7/1/2025,To,Date:,6/30/2026,
Account,Number,Description,,Budget,Adjustments,GL,Budget,Current,YTD,Balance,Encumbrance Budget,Bal%,Rem
,1000.1200.1000.51010.300,Teacher Salaries,,"$3,672,467.00",$0.00,"$3,672,467.00",,$0.00,$0.00,"$3,672,467.00","$173,518,829.18($169,846,362.18)-4624.86%",,
,1000.1200.1000.51020.300,Ed Tech Salaries,,"$8,576.00",$0.00,"$8,576.00",,$0.00,$0.00,"$8,576.00","$58,115.79","($49,539.79)",-577.66%
,1000.1200.1000.51230.300,Substitute Wages,,"$117,225.00",$0.00,"$117,225.00",,$0.00,$0.00,"$117,225.00",$0.00,"$117,225.00",100.00%
,1000.1200.1000.51500.300,Stipends,,"$19,546.00",$0.00,"$19,546.00",,$0.00,$0.00,"$19,546.00",$0.00,"$19,546.00",100.00%
,1000.1200.1000.52000.300,Stipend Benefits,,$657.00,$0.00,,$657.00,$0.00,$0.00,$657.00,$0.00,$657.00,100.00%
,1000.1200.1000.52010.300,Teacher Benefits,,"$848,424.00",$0.00,"$848,424.00",,$0.00,$0.00,"$848,424.00",$0.00,"$848,424.00",100.00%
,1000.1200.1000.52020.300,Ed Tech Benefits,,"$4,657.00",$0.00,"$4,657.00",,$0.00,$0.00,"$4,657.00",$0.00,"$4,657.00",100.00%
,1000.1200.1000.52030.300,Substitute Benefits,,"$3,786.00",$0.00,"$3,786.00",,$0.00,$0.00,"$3,786.00",$0.00,"$3,786.00",100.00%
,1000.1200.1000.52300.300,Retirement,,$874.00,$0.00,,$874.00,$0.00,$0.00,$874.00,$0.00,$874.00,100.00%
,1000.1200.1000.52310.300,Retirement,,"$164,159.00",$0.00,"$164,159.00",,$0.00,$0.00,"$164,159.00",$0.00,"$164,159.00",100.00%
,1000.1200.1000.52320.300,Retirement,,$773.00,$0.00,,$773.00,$0.00,$0.00,$773.00,$0.00,$773.00,100.00%
,1000.1200.1000.52330.300,Retirement,,"$5,240.00",$0.00,"$5,240.00",,$0.00,$0.00,"$5,240.00",$0.00,"$5,240.00",100.00%
,1000.1200.1000.53000.300,School Resource,Officer,"$39,000.00",$0.00,"$39,000.00",,$0.00,$0.00,"$39,000.00",$0.00,"$39,000.00",100.00%
,1000.1200.1000.53400.300,Purchased Professional,Services,"$49,497.00",$0.00,"$49,497.00",,$0.00,$0.00,"$49,497.00",$0.00,"$49,497.00",100.00%
,1000.1200.1000.54300.300,Copier Repair/Maint,,"$40,000.00",$0.00,"$40,000.00",,$0.00,$0.00,"$40,000.00",$0.00,"$40,000.00",100.00%
,1000.1200.1000.54330.300,Software,,$200.00,$0.00,,$200.00,$0.00,$0.00,$200.00,$0.00,$200.00,100.00%
,1000.1200.1000.55800.300,Travel,,"$1,500.00",$0.00,"$1,500.00",,$0.00,$0.00,"$1,500.00",$0.00,"$1,500.00",100.00%
,1000.1200.1000.56100.300,Instructional Supplies,High School,"$54,490.00",$0.00,"$54,490.00",,$0.00,$0.00,"$54,490.00",$0.00,"$54,490.00",100.00%
,1000.1200.1000.56110.300,"Equipment & Furniture,",Instructional,"$4,769.00",$0.00,"$4,769.00",,$0.00,$0.00,"$4,769.00",$0.00,"$4,769.00",100.00%
,1000.1200.1000.56400.300,Books High School,,"$21,780.00",$0.00,"$21,780.00",,$0.00,$0.00,"$21,780.00",$0.00,"$21,780.00",100.00%
,1000.1200.1000.58100.300,Dues and Fees,,"$1,264.00",$0.00,"$1,264.00",,$0.00,$0.00,"$1,264.00",$0.00,"$1,264.00",100.00%
,Program:,SECONDARY,PROGRAMS - 1200,"$5,058,884.00",$0.00,"$5,058,884.00",,$0.00,$0.00,"$5,058,884.00","$173,576,944.97($168,518,060.97-3331.13%",,
,,,,,,,,,,,,),
,1000.4200.1000.53000.300,JMG,,"$27,000.00",$0.00,"$27,000.00",,$0.00,$0.00,"$27,000.00",$0.00,"$27,000.00",100.00%
,Program: ALT,(AT RISK) ED,PROGRAMS - 4200,"$27,000.00",$0.00,"$27,000.00",,$0.00,$0.00,"$27,000.00",$0.00,"$27,000.00",100.00%
,Function:,REGULAR INSTRUCTION,- 1000,"$5,085,884.00",$0.00,"$5,085,884.00",,$0.00,$0.00,"$5,085,884.00","$173,576,944.97($168,491,060.97-3312.92%",,
,,,,,,,,,,,,),
,Cost Center:,FREEPORT HIGH,SCHOOL - 300,"$5,085,884.00",$0.00,"$5,085,884.00",,$0.00,$0.00,"$5,085,884.00","$173,576,944.97($168,491,060.97-3312.92%",,
,,,,,,,,,,,,),
,1000.4100.1000.51010.950,Teachers Salary,,"$185,619.00",$0.00,"$185,619.00",,$0.00,$0.00,"$185,619.00","$186,370.23",($751.23),-0.40%
,1000.4100.1000.52010.950,Teacher Benefits,,"$14,153.00",$0.00,"$14,153.00",,$0.00,$0.00,"$14,153.00","$3,500.00","$10,653.00",75.27%
,1000.4100.1000.52310.950,Retirement,,"$8,297.00",$0.00,"$8,297.00",,$0.00,$0.00,"$8,297.00",$0.00,"$8,297.00",100.00%
,1000.4100.1000.53000.950,Purchased Professional,Services,"$3,150.00",$0.00,"$3,150.00",,$0.00,$0.00,"$3,150.00",$0.00,"$3,150.00",100.00%
,1000.4100.1000.55800.950,Travel,,$100.00,$0.00,,$100.00,$0.00,$0.00,$100.00,$0.00,$100.00,100.00%
,1000.4100.1000.56100.950,Instructional Supplies,,$250.00,$0.00,,$250.00,$0.00,$0.00,$250.00,$0.00,$250.00,100.00%
,,Program:,ELL - 4100,"$211,569.00",$0.00,"$211,569.00",,$0.00,$0.00,"$211,569.00","$189,870.23","$21,698.77",10.26%
