,,,,,RSU,No.,5,,,,,,
1000.9600.1000.52300.300,,Retirement,,"$8,077.00",$0.00,"$8,077.00",,$0.00,$0.00,"$8,077.00",$0.00,"$8,077.00",100.00%
1000.9600.1000.53000.300,,Game Officials,,"$59,524.00",$0.00,"$59,524.00",,$0.00,$0.00,"$59,524.00",$0.00,"$59,524.00",100.00%
1000.9600.1000.55000.300,,Purchased Services,,"$15,711.00",$0.00,"$15,711.00",,$0.00,$0.00,"$15,711.00",$0.00,"$15,711.00",100.00%
1000.9600.1000.55800.300,,Travel,,"$1,270.00",$0.00,"$1,270.00",,$0.00,$0.00,"$1,270.00",$0.00,"$1,270.00",100.00%
1000.9600.1000.56000.300,,Supplies,,"$48,044.00",$0.00,"$48,044.00",,$0.00,$0.00,"$48,044.00",$0.00,"$48,044.00",100.00%
1000.9600.1000.58100.300,,Dues and Fees,,"$54,260.00",$0.00,"$54,260.00",,$0.00,$0.00,"$54,260.00",$0.00,"$54,260.00",100.00%
,Program:,EXTRA-CURRICULAR,9-12 - 9600,"$373,645.00",$0.00,"$373,645.00",,$0.00,$0.00,"$373,645.00",$0.00,"$373,645.00",100.00%
,Function:,REGULAR INSTRUCTION,- 1000,"$514,727.00",$0.00,"$514,727.00",,$0.00,$0.00,"$514,727.00","$13,500.00","$501,227.00",97.38%
1000.9600.2330.51010.300,,Athletic Director Salary,- FHS,"$85,701.00",$0.00,"$85,701.00",,$0.00,$0.00,"$85,701.00","$85,701.76",($0.76),0.00%
1000.9600.2330.51060.300,,Athletic Trainer Salary,,"$70,119.00",$0.00,"$70,119.00",,$0.00,$0.00,"$70,119.00","$70,119.00",$0.00,0.00%
1000.9600.2330.51180.300,,Athletic Office Support,Staff Wages,"$16,595.00",$0.00,"$16,595.00",,$0.00,$0.00,"$16,595.00","$37,483.32","($20,888.32)",-125.87%
,,- FHS,,,,,,,,,,,
1000.9600.2330.52010.300,,Athletic Director,Benefits - FHS,"$20,598.00",$0.00,"$20,598.00",,$0.00,$0.00,"$20,598.00",$0.00,"$20,598.00",100.00%
1000.9600.2330.52060.300,,Athletic Trainer Benefits,,"$20,670.00",$0.00,"$20,670.00",,$0.00,$0.00,"$20,670.00",$0.00,"$20,670.00",100.00%
1000.9600.2330.52080.300,,Athletic Office Support,Staff,"$3,795.00",$0.00,"$3,795.00",,$0.00,$0.00,"$3,795.00",$0.00,"$3,795.00",100.00%
,,Benefits - FHS,,,,,,,,,,,
1000.9600.2330.52310.300,,Athletic Director,Retirement - FHS,"$3,831.00",$0.00,"$3,831.00",,$0.00,$0.00,"$3,831.00",$0.00,"$3,831.00",100.00%
,Program:,EXTRA-CURRICULAR,9-12 - 9600,"$221,309.00",$0.00,"$221,309.00",,$0.00,$0.00,"$221,309.00","$193,304.08","$28,004.92",12.65%
,Function: SPECIAL,AREA ADMINISTRATION,- 2330,"$221,309.00",$0.00,"$221,309.00",,$0.00,$0.00,"$221,309.00","$193,304.08","$28,004.92",12.65%
,Cost Center:,FREEPORT HIGH,SCHOOL - 300,"$736,036.00",$0.00,"$736,036.00",,$0.00,$0.00,"$736,036.00","$206,804.08","$529,231.92",71.90%
1000.9100.1000.51500.950,,Stipends Paid,,"$1,486.00",$0.00,"$1,486.00",,$0.00,$0.00,"$1,486.00","$1,336.00",$150.00,10.09%
